ALEX,"['cyberpunk', 'dark clubbing', 'darksynth', 'synthwave']"
Martin Dupont,"['gothic post-punk', 'grave wave', 'minimal wave', 'vintage french electronic']"
G-Eazy Featuring Yo Gotti & YBN Nahmir,"['indie pop rap', 'oakland hip hop', 'pop', 'pop rap', 'rap']"
Dawin,['nyc pop']
Garden of Grief,"['ambient black metal', 'austrian black metal']"
French Montana Featuring The Weeknd & Max B,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Ray J Featuring Bobby Brackins,"['pop rap', 'r&b', 'urban contemporary']"
Rannar Sillard,['background music']
Pusha T Featuring Kanye West,"['hip hop', 'rap', 'southern hip hop', 'trap', 'underground hip hop', 'virginia hip hop']"
tuXedoo,['austrian metal']
Joji,"['alternative r&b', 'viral pop']"
Street to the Ocean,['austrian metal']
"Lunay, Daddy Yankee & Bad Bunny","['latin', 'latin hip hop', 'latin pop', 'reggaeton', 'reggaeton flow', 'trap latino']"
DJ Pippi,[]
LCD Soundsystem,"['alternative dance', 'alternative rock', 'art pop', 'dance rock', 'dance-punk', 'electronic rock', 'electronica', 'indie rock', 'indietronica', 'modern rock', 'new rave', 'rock']"
This Way To The Egress,"['dark cabaret', 'gypsy punk', 'steampunk']"
Marshmello & Bastille,"['brostep', 'dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']"
Noel Gallagher's High Flying Birds,"['britpop', 'modern rock', 'rock']"
Juicy J,"['crunk', 'dirty south rap', 'gangster rap', 'hip hop', 'memphis hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Jason Derulo Featuring Snoop Dogg,"['dance pop', 'pop', 'pop rap', 'post-teen pop']"
B.o.B Featuring Bruno Mars,"['atl hip hop', 'dance pop', 'hip hop', 'pop', 'pop rap', 'pop rock', 'rap', 'southern hip hop']"
The Chainsmokers & Bebe Rexha,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']"
Rich Homie Quan Featuring Problem,"['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Clay Walker,"['contemporary country', 'country', 'country road', 'country rock', 'modern country rock']"
Clean Bandit Featuring Julia Michaels,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance', 'uk funky']"
Rick Ross Featuring Jay-Z,"['dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Rihanna Featuring Calvin Harris,"['barbadian pop', 'dance pop', 'pop', 'pop rap', 'urban contemporary']"
Missing Andy,['essex indie']
Murs,"['abstract hip hop', 'alternative hip hop', 'hip hop', 'underground rap']"
Kygo x Selena Gomez,"['edm', 'pop', 'pop dance', 'tropical house']"
Uncle Tupelo,"['alternative country', 'alternative rock', 'country rock', 'folk', 'heartland rock', 'indie folk', 'new americana', 'roots rock', 'stomp and holler']"
Rae Sremmurd Featuring Nicki Minaj & Young Thug,"['hip hop', 'melodic rap', 'mississippi hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Weyes Blood,"['art pop', 'experimental folk', 'indie pop']"
Frank Ocean,"['alternative r&b', 'hip hop', 'lgbtq+ hip hop', 'neo soul', 'pop']"
Parov Stelar,"['balkan beats', 'downtempo', 'electro swing', 'nu jazz']"
Millind Gaba,"['desi pop', 'modern bollywood', 'punjabi pop']"
Britney Spears Featuring G-Eazy,"['dance pop', 'pop', 'post-teen pop']"
Andrew McMahon In The Wilderness,"['hopebeat', 'indie poptimism', 'modern alternative rock', 'modern rock', 'neo mellow', 'piano rock', 'pop rock', 'stomp and holler']"
The Band Perry,"['contemporary country', 'country', 'country dawn', 'country road', 'modern country rock']"
Meghan Trainor Featuring John Legend,"['dance pop', 'hip pop', 'pop', 'post-teen pop']"
The Electric Swing Circus,"['electro swing', 'nu jazz']"
French Montana Featuring Nicki Minaj,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Empire Cast Featuring Estelle & Jussie Smollett,"['dance pop', 'r&b', 'urban contemporary']"
Metro Boomin Featuring Gunna,"['hip hop', 'rap', 'southern hip hop', 'trap']"
D.R.A.M. Featuring Lil Yachty,"['alternative r&b', 'virginia hip hop']"
Chon,"['djent', 'instrumental math rock', 'instrumental rock', 'progressive jazz fusion', 'progressive post-hardcore', 'san diego indie']"
Kindbergs,['dansband']
T.I. Featuring Keri Hilson,"['dance pop', 'hip pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']"
Deorro,"['dance pop', 'edm', 'electro house', 'melbourne bounce', 'melbourne bounce international', 'pop dance', 'progressive electro house']"
Tristan Eckerson,['neo-classical']
Marcella and The Forget Me Nots,['dark cabaret']
Arbor Lights,"['british post-rock', 'instrumental post-rock']"
The Unicorns,"['alternative rock', 'anti-folk', 'canadian indie', 'indie rock', 'lo-fi']"
Ariana Grande & The Weeknd,"['dance pop', 'pop']"
PSYQUI,['kawaii edm']
Dead Prez,"['alternative hip hop', 'conscious hip hop', 'east coast hip hop', 'hardcore hip hop', 'hip hop', 'political hip hop']"
Tonight Alive,"['candy pop', 'neon pop punk', 'pixie', 'pop emo', 'pop punk']"
David Guetta Featuring Justin Bieber,"['big room', 'dance pop', 'edm', 'pop', 'pop dance', 'pop rap']"
Flo Rida Featuring Jason Derulo,"['dance pop', 'miami hip hop', 'pop', 'pop rap']"
Maroon 5 Featuring Cardi B,"['pop', 'pop rock']"
Kaleo,"['icelandic indie', 'icelandic rock', 'modern alternative rock', 'modern rock']"
Exposé,"['freestyle', 'new wave pop']"
Easton Corbin,"['contemporary country', 'country', 'country road', 'modern country rock']"
Chris Brown Featuring Ludacris,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']"
Waka Flocka Flame Featuring Kebo Gotti,"['atl hip hop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Red Rocks Worship,"['anthem worship', 'ccm', 'world worship']"
Meek Mill Featuring Kirko Bangz,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Kid Ink Featuring Fetty Wap,"['dance pop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Big Sean,"['detroit hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Jonas Blue Featuring Dakota,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance']"
Caroline Polachek,"['art pop', 'dance pop', 'electropop', 'escape room', 'indie pop', 'indietronica', 'pop']"
Orden Ogan,"['folk metal', 'german metal', 'german power metal', 'melodic metal', 'neo classical metal', 'power metal']"
Keith Jarrett,"['contemporary jazz', 'ecm-style jazz', 'jazz', 'jazz fusion', 'jazz piano']"
Scibex,"['avant-garde black metal', 'metal mineiro']"
Wale Featuring Jeremih,"['gangster rap', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary']"
Thirty Seconds To Mars,"['modern rock', 'post-grunge', 'rock']"
Jacquees,"['atl hip hop', 'pop', 'pop r&b', 'pop rap', 'r&b', 'rap', 'urban contemporary']"
Arctic Monkeys,"['garage rock', 'permanent wave', 'rock', 'sheffield indie']"
Machine Gun Kelly x Camila Cabello,['ohio hip hop']
Midnight,"[""black 'n' roll"", 'black speed metal', 'metal', 'new wave of speed metal', 'nwothm']"
Kellie Pickler,"['contemporary country', 'country', 'country dawn', 'country road']"
